SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"1","eMoneyUnion.com ","","","21%","£65,620","£300,000 ","57","15.00%","23"," 21%","Wilmslow, Cheshire East","EIS,SEIS","1","88","18","eMoneyUnion is a peer-to-peer lending platform with the aim of providing a personal loan offering to consumers that maybe currently excluded from mainstream finance. eMoneyUnion also aim to provide finance for cars, home improvements and other purchases. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_91dcae9e5146bcc813adea83cf7371f7.jpg"
"2","Red Advertising ","","","58%","£232,010","£400,000 ","14","15.00%","27"," 58%","Cannock, Staffordshire","EIS,","0","0","0","Recruitive (Red Advertising Ltd) is an award winning Enterprise SaaS HR Solutions provider providing a suite of 5 HR tools for recruiters and SME HR departments. This placement is supported by Johnson Capital Associates. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_cdd6ed4320db72a2598c9a4f96b2c077.jpg"
"3","East End Manufacturing ","","","153%","£165,450","£108,000 ","164","10.71%","21"," 100%","Tower Hamlets, London","EIS,","0","1","4","East End Manufacturing champions ‘Made in Britain’ by producing clothing in London. Existing clients sell in Debenhams and House of Fraser. Launched by Mayor of London, Boris Johnson, the company expanded through Crowdcube in August. After talks this month, we are hoping to sell our own brand products to worldwide online fashion store ASOS.com which sells in 237 countries and will soon launch in China. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_99756e19be4e4c6d5ed7bac9b322cec4.jpg"
"4","Atlantic Kitchen ","","","13%","£16,240","£120,000 ","42","24.00%","37"," 13%","Camden, London","SEIS,","30","11","0","Atlantic Kitchen makes nutritious, organic food using seaweed from Ireland. Our goal is to transform the UK food market by introducing seaweed in ready-to-serve formats that could appeal to a broad range of customers. Our long-term goal is to be the ‘go-to’ brand for edible seaweed in all its forms. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_dd1a070ca79990115177b36eed4cc293.jpg"
"5","LawBit T/A LawBite ","","","17%","£20,880","£120,000 ","36","6.48%","55"," 17%","Wandsworth, London","EIS,","16","43","21","Lawbite aspires to democratise the law and offer affordable plain English documents. Access to expert legal advice for document editing, disputes, negotiation, mediation and arbitration. Partnership with direct access barristers  a new development of an initiative that is constantly evolving, conceptually and technologically. Recently endorsed at our Google Campus event by Minister for Skills and Enterprise Matthew Hancock. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_8a2c8ca88328138ab156a236a0802daf.jpg"
"6","Lets Rent ","","","2%","£2,090","£100,000 ","21","15.00%","31"," 6%","Manchester","EIS,SEIS","15","3","0","Lets Rent aims to improve the way landlords let their property. We think the traditional model of letting agents is out-dated – expensive and inefficient. Our modern approach at Lets Rent aims to benefit both the landlord and the tenant. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_13605b29abd27bc8aae2ca66ce95912f.jpg"
"7","STS Yacht Services ","","","1%","£220","£25,000 ","6","7.15%","55"," 6%","Plymouth, Devon","EIS,SEIS","0","1","1","STS Yacht Services provides bespoke supply of high end 'below deck' items, such as flatware, stemware, dinnerware, bedding, crew uniforms etc. for superyachts. They offer an online catalogue where the user browses and selects items that they are interested in purchasing. STS then takes samples of these items to the boat in order to give the client the opportunity to experience and compare these items in their intended environment, prior to purchase. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_ff1044b681d60873ad8b5f5fdf93df51.jpg"
"8","AngelBerry ","","","6%","£9,200","£150,000 ","21","9.00%","57"," 10%","Bristol, South Gloucestershire","EIS,","0","0","0","Launched in December 2011, AngelBerry is an international frozen yogurt franchise with six stores operating and with contractual agreement to open 50 new stores in the coming years. The global frozen yogurt market is experiencing impressive growth according to Mintel with a market size increase of 74% between 2011 and 2013, in comparison to the ice cream market which saw an increase of only 3.9%. AngelBerry is now serving over 15,000 customers per week. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_fba6595b2aab262c19c1cb724f7019cd.jpg"
"9","Earwig Academic Reporting ","","","119%","£167,300","£140,000 ","57","14.00%","10"," 100%","Ripley, Surrey","SEIS,","4","3","2","Schools now routinely use photos and videos to provide evidence of pupil achievement for Ofsted. Earwig enables them to organise these into a vivid timeline for every pupil, class, and subject.Every parent gets a weekly insight into their children’s school life. Every pupil gets a permanent record of their school life. Earwig make money by licencing the software and by selling photos and videos to parents. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_291146c4023739b40e15c60d7f437d84.jpg"
"10","DisarmCo ","","","85%","£103,060","£120,000 ","99","25.00%","14"," 85%","Southend-on-Sea","EIS,SEIS","1","6","0","DisarmCo’s product enables the disposal of landmines in a simple, cost effective and environmentally friendly way. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_1e62377a30fd7cecc227dd995db1ad0e.jpg"
